"","ID","AGE","GENDER","RACE","ArrestTime","Hour","Month","Weekday","OFFENSE","Code","ShortCode"
"2278",211,21,"M","W","2016-08-16T13:00:00","13","八月","星期二","3127(a) Indecent exposure","3127","31"
"2299",820,20,"M","B","2016-09-09T11:02:00","11","九月","星期五","3921(a) Theft by Unlawful Taking or Disposition - Movable item","3921","39"
"2303",3194,13,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2305",5443,20,"M","B","2017-02-04T12:30:00","12","二月","星期六","2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","2718","27"
"2312",3195,14,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2316",3197,13,"F","B","2016-11-29T09:00:00","9","十一月","星期二","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2319",6855,11,"F","B","2017-03-21T10:15:00","10","三月","星期二","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury ","2701","27"
"2320",6855,11,"F","B","2017-03-21T10:15:00","10","三月","星期二","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2324",3937,21,"M","B","2016-12-29T01:26:00","1","十二月","星期四","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"2328",4945,16,"F","B","2017-01-27T10:50:00","10","一月","星期五","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2332",858,18,"M","B","2016-08-26T13:14:00","13","八月","星期五","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2333",858,18,"M","B","2016-08-26T13:14:00","13","八月","星期五","13(a)(30) Possession w","13(a)","13(a)"
"2344",3404,12,"M","B","2016-12-05T08:00:00","8","十二月","星期一","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2346",3404,12,"M","B","2016-12-05T08:00:00","8","十二月","星期一","3503(b)(1)(i) Actual Communication","3503","35"
"2354",4951,19,"M","B","2017-01-24T20:10:00","20","一月","星期二","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2355",4951,19,"M","B","2017-01-24T20:10:00","20","一月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"2357",4951,19,"M","B","2017-01-24T20:10:00","20","一月","星期二","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"2359",6866,20,"F","B","2017-03-27T18:00:00","18","三月","星期一","4105(a)(1) Bad Checks","4105","41"
"2365",4631,18,"M","W","2016-12-16T02:11:00","2","十二月","星期五","3503(b)(1)(i) Actual Communication","3503","35"
"2369",221,16,"M","B","2016-08-07T20:00:00","20","八月","星期日","4914(A) False Identification to Law Enforcement","4914","49"
"2389",4976,21,"F","W","2017-01-27T02:09:00","2","一月","星期五","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"2395",6444,18,"M","B","2017-03-06T17:58:00","17","三月","星期一","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","6105","61"
"2402",5964,19,"M","O","2017-02-19T13:40:00","13","二月","星期日","13(a)(30) Possession w","13(a)","13(a)"
"2404",5964,19,"M","O","2017-02-19T13:40:00","13","二月","星期日","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"2410",5511,20,"M","U","2017-02-11T20:37:00","20","二月","星期六","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2414",3493,15,"M","B","2016-11-08T14:35:00","14","十一月","星期二","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2421",925,17,"M","B","2016-09-02T13:51:00","13","九月","星期五","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2429",882,21,"M","W","2016-09-05T01:00:00","1","九月","星期一","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"2432",884,20,"F","B","2016-09-04T23:33:00","23","九月","星期日","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"2434",1740,19,"M","W","2016-10-05T15:55:00","15","十月","星期三","2701(a)(3) Simple Assault - Attempts by Physical Menace ","2701","27"
"2452",930,20,"M","B","2016-09-06T13:03:00","13","九月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"2461",5540,20,"M","B","2017-02-10T16:21:00","16","二月","星期五","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2467",5974,13,"M","B","2017-02-25T21:00:00","21","二月","星期六","2701(a)(3) Simple Assault - Attempts by Physical Menace ","2701","27"
"2470",3448,14,"F","B","2016-12-13T11:54:00","11","十二月","星期二","3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means ","3304","33"
"2471",3448,14,"F","B","2016-12-13T11:54:00","11","十二月","星期二","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2477",6300,13,"M","B","2017-03-08T13:40:00","13","三月","星期三","2701(a)(3) Simple Assault - Attempts by Physical Menace ","2701","27"
"2480",4547,20,"M","B","2017-01-25T13:30:00","13","一月","星期三","3126(a)(1) Indecent assault without consent","3126","31"
"2487",5980,20,"M","W","2017-02-16T08:30:00","8","二月","星期四","3126(a)(1) Indecent assault without consent","3126","31"
"2497",3314,20,"M","W","2016-12-07T13:40:00","13","十二月","星期三","3809(a) Restriction on Alcoholic Beverages in Vehicle","3809","38"
"2499",5124,18,"M","B","2017-02-01T16:10:00","16","二月","星期三","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2517",3328,21,"M","B","2016-11-28T12:03:00","12","十一月","星期一","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"2524",313,18,"M","B","2016-08-25T09:10:00","9","八月","星期四","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2527",3335,21,"M","B","2016-11-30T01:21:00","1","十一月","星期三","3802(a)(1) DUI - General Impairment","3802","38"
"2531",1130,19,"M","W","2016-09-06T19:01:00","19","九月","星期二","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2537",3345,18,"M","B","2016-11-23T22:21:00","22","十一月","星期三","2701(a)(3) Simple Assault - Attempts by Physical Menace ","2701","27"
"2543",6035,17,"F","B","2017-02-22T15:10:00","15","二月","星期三","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2549",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2550",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2554",3489,21,"M","W","2016-12-01T03:30:00","3","十二月","星期四","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2555",3489,21,"M","W","2016-12-01T03:30:00","3","十二月","星期四","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2563",6034,17,"F","B","2017-02-22T15:10:00","15","二月","星期三","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2568",3352,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"2569",3352,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2570",3352,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2572",3352,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2573",3352,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2578",3083,21,"M","W","2016-12-05T13:30:00","13","十二月","星期一","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2581",6036,15,"M","B","2017-02-16T10:55:00","10","二月","星期四","2701(a)(3) Simple Assault - Attempts by Physical Menace  ","2701","27"
"2586",6038,17,"M","B","2017-02-24T14:45:00","14","二月","星期五","2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent","2701","27"
"2590",964,19,"M","B","2016-09-10T18:46:00","18","九月","星期六","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2593",6039,18,"M","B","2017-02-27T13:32:00","13","二月","星期一","2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent","2701","27"
"2596",965,16,"M","B","2016-09-10T18:45:00","18","九月","星期六","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2597",965,16,"M","B","2016-09-10T18:45:00","18","九月","星期六","13(a)(30) Possession w","13(a)","13(a)"
"2603",3353,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2604",3353,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2606",3353,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2607",3353,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2613",3354,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2614",3354,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2616",3354,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2617",3354,18,"M","B","2016-11-30T16:05:00","16","十一月","星期三","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2622",972,20,"M","B","2016-09-22T14:00:00","14","九月","星期四","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2623",972,20,"M","B","2016-09-22T14:00:00","14","九月","星期四","13(a)(30) Possession w","13(a)","13(a)"
"2631",3098,10,"M","B","2016-11-10T13:45:00","13","十一月","星期四","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2637",6653,21,"F","B","2017-03-16T21:06:00","21","三月","星期四","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2641",6288,15,"M","B","2017-03-02T21:05:00","21","三月","星期四","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"2646",5414,19,"M","W","2017-02-07T23:19:00","23","二月","星期二","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury ","2701","27"
"2647",5414,19,"M","W","2017-02-07T23:19:00","23","二月","星期二","2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","2718","27"
"2651",3359,19,"M","B","2016-11-30T22:44:00","22","十一月","星期三","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"2661",6064,20,"M","B","2017-02-27T21:20:00","21","二月","星期一","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2667",1025,20,"M","W","2016-09-10T11:48:00","11","九月","星期六","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2670",3369,21,"M","W","2016-11-24T02:07:00","2","十一月","星期四","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2674",6069,18,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2675",6069,18,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2676",6069,18,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(30) Possession w","13(a)","13(a)"
"2691",6071,19,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2692",6071,19,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2693",6071,19,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(30) Possession w","13(a)","13(a)"
"2695",6071,19,"M","B","2017-02-27T12:45:00","12","二月","星期一","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"2702",6655,21,"F","B","2017-03-16T22:54:00","22","三月","星期四","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2703",6655,21,"F","B","2017-03-16T22:54:00","22","三月","星期四","3802(a)(1) DUI - General Impairment ","3802","38"
"2704",6655,21,"F","B","2017-03-16T22:54:00","22","三月","星期四","3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3802","38"
"2710",985,21,"F","W","2016-09-26T18:44:00","18","九月","星期一","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2711",985,21,"F","W","2016-09-26T18:44:00","18","九月","星期一","3802(a)(1) DUI - General Impairment","3802","38"
"2728",4993,21,"M","B","2017-01-26T15:43:00","15","一月","星期四","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2731",1002,19,"M","B","2016-09-09T21:40:00","21","九月","星期五","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2734",3423,21,"M","B","2016-12-03T12:05:00","12","十二月","星期六","3802(d)(2) DUI - Drug - Impaired Ability","3802","38"
"2749",6090,16,"M","B","2017-02-02T20:56:00","20","二月","星期四","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2750",6090,16,"M","B","2017-02-02T20:56:00","20","二月","星期四","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"2757",5456,20,"F","W","2017-02-05T03:26:00","3","二月","星期日","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor","6308","63"
"2775",5246,20,"M","B","2017-02-01T19:25:00","19","二月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2776",5246,20,"M","B","2017-02-01T19:25:00","19","二月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2778",5246,20,"M","B","2017-02-01T19:25:00","19","二月","星期三","13(a)(30)* Delivery of Controlled Substance","13(a)","13(a)"
"2780",1683,12,"M","B","2016-10-06T10:05:00","10","十月","星期四","3921(a) Theft by Unlawful Taking or Disposition - Movable item","3921","39"
"2782",1686,14,"F","B","2016-10-12T08:38:00","8","十月","星期三","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2785",5633,20,"M","B","2017-02-17T18:00:00","18","二月","星期五","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"2793",6284,14,"M","B","2017-03-06T14:30:00","14","三月","星期一","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","3304","33"
"2796",4417,17,"F","B","2017-01-11T22:00:00","22","一月","星期三","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2701","27"
"2803",1009,21,"M","B","2016-09-04T01:21:00","1","九月","星期日","3316(a) use of interactive wireless communications devices for text-based communications while operating motor vehicles prohibited","3316","33"
"2806",6115,21,"M","B","2017-03-06T13:25:00","13","三月","星期一","2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","2718","27"
"2821",5882,18,"M","B","2017-02-23T21:32:00","21","二月","星期四","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2825",3451,17,"M","B","2016-12-09T21:00:00","21","十二月","星期五","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"2826",3451,17,"M","B","2016-12-09T21:00:00","21","十二月","星期五","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2830",2714,19,"F","B","2016-10-09T02:40:00","2","十月","星期日","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2834",6144,20,"M","B","2017-03-02T20:02:00","20","三月","星期四","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2835",6144,20,"M","B","2017-03-02T20:02:00","20","三月","星期四","13(a)(30) Possession w","13(a)","13(a)"
"2837",6144,20,"M","B","2017-03-02T20:02:00","20","三月","星期四","5902(e) Patronizing a Prostitute","5902","59"
"2839",1044,21,"F","W","2016-09-27T16:05:00","16","九月","星期二","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2840",1044,21,"F","W","2016-09-27T16:05:00","16","九月","星期二","3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s)","3503","35"
"2848",5286,18,"M","B","2017-02-15T15:30:00","15","二月","星期三","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2701","27"
"2861",50,20,"M","B","2016-08-20T04:30:00","4","八月","星期六","2709(b) Stalking","2709","27"
"2870",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2871",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2873",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2874",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2880",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2881",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2883",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2884",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2887",3631,20,"M","B","2016-12-08T16:45:00","16","十二月","星期四","13(a)(30) Possession w","13(a)","13(a)"
"2889",3631,20,"M","B","2016-12-08T16:45:00","16","十二月","星期四","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"2893",6352,12,"M","B","2017-03-14T10:39:00","10","三月","星期二","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","2709","27"
"2896",6353,10,"M","B","2017-03-10T10:05:00","10","三月","星期五","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2903",1077,18,"M","W","2016-09-04T22:20:00","22","九月","星期日","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor","6308","63"
"2913",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2914",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2916",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2917",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2921",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"2922",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"2924",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2925",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"2930",6354,12,"M","B","2017-03-10T10:05:00","10","三月","星期五","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"2937",5924,10,"M","W","2017-02-20T10:00:00","10","二月","星期一","5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG","5503","55"
"2942",6357,16,"F","W","2017-03-10T08:15:00","8","三月","星期五","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2701","27"
"2945",6358,16,"F","W","2017-03-10T08:15:00","8","三月","星期五","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2701","27"
"2947",5712,18,"M","B","2017-02-20T14:20:00","14","二月","星期一","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"2950",5712,18,"M","B","2017-02-20T14:20:00","14","二月","星期一","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2951",5712,18,"M","B","2017-02-20T14:20:00","14","二月","星期一","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2956",1832,21,"M","H","2016-10-08T22:13:00","22","十月","星期六","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"2959",5932,17,"M","B","2017-02-19T16:52:00","16","二月","星期日","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"2964",5941,15,"M","B","2017-02-20T17:00:00","17","二月","星期一","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"2965",5941,15,"M","B","2017-02-20T17:00:00","17","二月","星期一","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"2991",3496,10,"M","B","2016-12-01T13:30:00","13","十二月","星期四","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","2709","27"
"2995",1113,20,"M","W","2016-09-02T21:12:00","21","九月","星期五","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"3000",5509,21,"F","W","2017-02-15T13:45:00","13","二月","星期三","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"3002",3198,14,"M","B","2016-11-29T09:00:00","9","十一月","星期二","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"3004",3677,21,"M","B","2016-12-11T17:53:00","17","十二月","星期日","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"3017",3679,20,"M","B","2016-12-11T19:26:00","19","十二月","星期日","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"3018",3679,20,"M","B","2016-12-11T19:26:00","19","十二月","星期日","13(a)(30) Possession w","13(a)","13(a)"
"3026",3542,18,"M","B","2016-11-24T15:40:00","15","十一月","星期四","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"3032",5330,16,"M","B","2017-02-13T17:30:00","17","二月","星期一","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"3033",5330,16,"M","B","2017-02-13T17:30:00","17","二月","星期一","13(a)(30) Possession w","13(a)","13(a)"
"3035",5330,16,"M","B","2017-02-13T17:30:00","17","二月","星期一","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"3038",2374,15,"M","B","2016-11-08T10:30:00","10","十一月","星期二","3921(a) Theft by Unlawful Taking or Disposition - Movable item","3921","39"
"3041",3543,21,"M","B","2016-12-19T13:08:00","13","十二月","星期一","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"3045",6200,21,"M","W","2017-03-06T08:20:00","8","三月","星期一","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"3049",6226,21,"M","O","2017-03-05T20:06:00","20","三月","星期日","3802(a)(1) DUI - General Impairment ","3802","38"
"3050",6226,21,"M","O","2017-03-05T20:06:00","20","三月","星期日","3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3802","38"
"3054",1140,21,"F","B","2016-09-17T00:30:00","0","九月","星期六","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"3055",1140,21,"F","B","2016-09-17T00:30:00","0","九月","星期六","13(a)(30) Possession w","13(a)","13(a)"
"3057",1140,21,"F","B","2016-09-17T00:30:00","0","九月","星期六","13(a)(33) Paraphernalia - Delivery or Intent to Deliver","13(a)","13(a)"
"3059",1024,20,"M","W","2016-09-10T11:48:00","11","九月","星期六","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"3063",6360,14,"M","B","2017-03-10T08:35:00","8","三月","星期五","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"3071",2941,18,"M","B","2016-11-16T16:24:00","16","十一月","星期三","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"3077",3565,18,"M","B","2016-12-20T11:19:00","11","十二月","星期二","3126(a)(8) Indecent assault of person under 16","3126","31"
"3081",615,21,"M","W","2016-08-09T14:00:00","14","八月","星期二","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"3085",3572,20,"M","B","2016-12-08T00:57:00","0","十二月","星期四","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"3096",6264,18,"M","U","2017-03-07T21:45:00","21","三月","星期二","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor ","6308","63"
"3097",6264,18,"M","U","2017-03-07T21:45:00","21","三月","星期二","5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE ","5503","55"
"3098",6264,18,"M","U","2017-03-07T21:45:00","21","三月","星期二","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","3304","33"
"3101",6280,16,"M","B","2017-03-09T16:40:00","16","三月","星期四","3126(a)(1) Indecent assault without consent","3126","31"
"3103",6003,19,"M","B","2017-02-23T16:23:00","16","二月","星期四","13(a)(30) Possession w","13(a)","13(a)"
"3105",6003,19,"M","B","2017-02-23T16:23:00","16","二月","星期四","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"3107",6283,15,"M","B","2017-03-06T16:30:00","16","三月","星期一","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","3304","33"
"3113",5393,20,"M","B","2017-02-04T00:31:00","0","二月","星期六","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"3121",3617,19,"M","W","2016-12-09T18:55:00","18","十二月","星期五","3802(a)(1) DUI - General Impairment ","3802","38"
"3122",3617,19,"M","W","2016-12-09T18:55:00","18","十二月","星期五","3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3802","38"
"3137",6313,20,"M","B","2017-03-11T16:00:00","16","三月","星期六","3921(a) Theft by Unlawful Taking or Disposition - Movable item","3921","39"
"3142",3632,18,"M","B","2016-12-08T16:45:00","16","十二月","星期四","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"3145",3634,19,"M","B","2016-12-08T16:45:00","16","十二月","星期四","13(a)(16) Possession of Controlled Substance","13(a)","13(a)"
"3148",1218,19,"M","B","2016-09-30T13:30:00","13","九月","星期五","3921(a) Theft by Unlawful Taking or Disposition - Movable item","3921","39"
"3151",3649,21,"M","B","2016-12-11T21:30:00","21","十二月","星期日","2701(a)(3) Simple Assault - Attempts by Physical Menace  ","2701","27"
"3152",3649,21,"M","B","2016-12-11T21:30:00","21","十二月","星期日","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","3304","33"
"3154",6292,16,"M","B","2017-03-08T17:53:00","17","三月","星期三","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"3156",6292,16,"M","B","2017-03-08T17:53:00","17","三月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"3157",6292,16,"M","B","2017-03-08T17:53:00","17","三月","星期三","13(a)(30) Possession w","13(a)","13(a)"
