"","ID","AGE","GENDER","RACE","ArrestTime","OFFENSE","Hour","Month","Weekday","Teen","Code","ShortCode"
"1346",2174,31,"F","W","2016-10-17T18:59:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","18","October","Monday",0,"3802","38"
"1347",6565,22,"M","W","2017-03-19T08:20:00","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)","8","March","Sunday",0,"3304","33"
"1348",4260,25,"M","B","2017-01-05T12:58:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication","12","January","Thursday",0,"13(a)","13(a)"
"1351",753,45,"F","B","2016-08-30T02:00:00","13(a)(32) Paraphernalia - Use or Possession","2","August","Tuesday",0,"13(a)","13(a)"
"1360",2179,34,"F","W","2016-10-20T18:05:00","13(a)(32) Paraphernalia - Use or Possession","18","October","Thursday",0,"13(a)","13(a)"
"1366",1064,30,"F","W","2016-09-02T21:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","21","September","Friday",0,"13(a)","13(a)"
"1375",1818,32,"F","B","2016-10-04T20:01:00","13(a)(32) Paraphernalia - Use or Possession","20","October","Tuesday",0,"13(a)","13(a)"
"1376",3208,23,"F","W","2016-11-22T18:50:00","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of","18","November","Tuesday",0,"5902","59"
"1377",3484,24,"F","B","2016-12-04T19:19:00","13(a)(31) Marijuana: Possession Small Amount","19","December","Sunday",0,"13(a)","13(a)"
"1378",2185,18,"M","W","2016-10-20T23:50:00","3503(b)(1)(i) Actual Communication","23","October","Thursday",1,"3503","35"
"1385",5244,52,"M","B","2017-02-01T19:22:00","13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount","19","February","Wednesday",0,"13(a)","13(a)"
"1387",5236,54,"F","B","2017-02-02T04:05:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","4","February","Thursday",0,"13(a)","13(a)"
"1389",6459,64,"M","B","2017-03-13T11:30:00","3802(d)(2) DUI - Drug - Impaired Ability","11","March","Monday",0,"3802","38"
"1390",5242,21,"F","B","2017-02-01T17:30:00","13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","17","February","Wednesday",1,"13(a)","13(a)"
"1391",5243,20,"M","B","2017-02-01T17:30:00","13(a)(31) Marijuana: Possession Small Amount","17","February","Wednesday",1,"13(a)","13(a)"
"1400",1673,19,"M","W","2016-10-01T19:30:00","13(a)(31) Marijuana: Possession Small Amount","19","October","Saturday",1,"13(a)","13(a)"
"1401",1674,19,"F","W","2016-10-01T19:30:00","13(a)(31) Marijuana: Possession Small Amount","19","October","Saturday",1,"13(a)","13(a)"
"1402",1675,37,"F","W","2016-10-01T21:06:00","2709(a) Harassment. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","21","October","Saturday",0,"2709","27"
"1403",5248,19,"M","B","2017-02-01T20:54:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","20","February","Wednesday",1,"2701","27"
"1407",6664,45,"M","B","2017-03-21T20:29:00","3921(a) Theft by Unlawful Taking or Disposition - Movable item","20","March","Tuesday",0,"3921","39"
"1409",296,32,"M","W","2016-08-27T01:49:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities / 3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s)","1","August","Saturday",0,"13(a)","13(a)"
"1418",6143,49,"M","W","2017-03-01T09:30:00","13(a)(32) Paraphernalia - Use or Possession","9","March","Wednesday",0,"13(a)","13(a)"
"1420",6804,30,"F","W","2017-03-25T09:10:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","9","March","Saturday",0,"13(a)","13(a)"
"1424",6778,45,"M","B","2017-03-21T02:36:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","2","March","Tuesday",0,"13(a)","13(a)"
"1425",934,30,"M","W","2016-09-02T16:53:00","13(a)(16) Possession of Controlled Substance / 3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s)","16","September","Friday",0,"13(a)","13(a)"
"1430",3936,38,"F","W","2016-12-27T18:59:00","13(a)(32) Paraphernalia - Use or Possession / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","18","December","Tuesday",0,"13(a)","13(a)"
"1436",3940,31,"F","W","2016-12-28T14:07:00","3921(a) Theft by Unlawful Taking or Disposition - Movable item","14","December","Wednesday",0,"3921","39"
"1437",6779,24,"M","B","2017-03-21T14:28:00","13(a)(31) Marijuana: Possession Small Amount","14","March","Tuesday",0,"13(a)","13(a)"
"1440",2813,26,"F","W","2016-11-05T02:11:00","13(a)(31) Marijuana: Possession Small Amount","2","November","Saturday",0,"13(a)","13(a)"
"1442",6672,18,"M","B","2017-03-20T16:49:00","13(a)(31) Marijuana: Possession Small Amount","16","March","Monday",1,"13(a)","13(a)"
"1443",1834,25,"F","B","2016-10-07T17:13:00","13(a)(32) Paraphernalia - Use or Possession","17","October","Friday",0,"13(a)","13(a)"
"1447",303,18,"M","W","2016-08-22T02:35:00","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 3714 Careless Driving / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3718(a) Minor Prohib from Operating w/ Alcohol in System / 3802(a)(1) DUI - General Impairment / 3802(e) DUI - Minors - BAC >=.02%","2","August","Monday",1,"6308","63"
"1455",5269,62,"M","W","2017-02-04T17:35:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3709 Dep. Waste and Other Material ","17","February","Saturday",0,"13(a)","13(a)"
"1456",6790,19,"M","B","2017-03-20T16:20:00","13(a)(31) Marijuana: Possession Small Amount / 4914 False Identification to Law Enforcement Authorities","16","March","Monday",1,"13(a)","13(a)"
"1457",5277,22,"F","W","2017-02-05T12:30:00","13(a)(16) Possession of Controlled Substance","12","February","Sunday",0,"13(a)","13(a)"
"1458",6806,14,"F","B","2017-03-15T15:05:00","13(a)(31) Marijuana: Possession Small Amount","15","March","Wednesday",1,"13(a)","13(a)"
"1462",6072,36,"M","W","2017-02-22T17:51:00","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant","17","February","Wednesday",0,"13(a)","13(a)"
"1463",2649,29,"F","W","2016-11-05T17:58:00","13(a)(32) Paraphernalia - Use or Possession","17","November","Saturday",0,"13(a)","13(a)"
"1464",6808,12,"M","B","2017-03-13T14:24:00","13(a)(31) Marijuana: Possession Small Amount","14","March","Monday",1,"13(a)","13(a)"
"1477",6792,37,"M","B","2017-03-19T23:00:00","13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount","23","March","Sunday",0,"13(a)","13(a)"
"1478",6793,23,"M","W","2017-03-21T20:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","20","March","Tuesday",0,"13(a)","13(a)"
"1480",5272,32,"M","W","2017-02-04T20:30:00","3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants)","20","February","Saturday",0,"3926","39"
"1485",4355,45,"M","B","2017-01-21T20:00:00","2709(a)(4) Harassment Communicates Prohibited Acts / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows","20","January","Saturday",0,"2709","27"
"1487",6812,17,"F","A","2017-03-09T10:00:00","13(a)(31) Marijuana: Possession Small Amount","10","March","Thursday",1,"13(a)","13(a)"
"1497",316,22,"M","W","2016-08-24T00:25:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","0","August","Wednesday",0,"2701","27"
"1499",3424,30,"F","W","2016-12-03T13:00:00","13(a)(32) Paraphernalia - Use or Possession","13","December","Saturday",0,"13(a)","13(a)"
"1513",6685,18,"M","W","2017-03-22T20:15:00","13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 13(a)(32) Paraphernalia - Use or Possession","20","March","Wednesday",1,"13(a)","13(a)"
"1517",331,33,"M","B","2016-08-02T12:25:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","12","August","Tuesday",0,"13(a)","13(a)"
"1520",3952,25,"F","B","2016-12-23T12:40:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","12","December","Friday",0,"2701","27"
"1522",335,48,"M","B","2016-08-02T12:45:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","12","August","Tuesday",0,"13(a)","13(a)"
"1523",336,18,"F","B","2016-08-02T03:55:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent","3","August","Tuesday",1,"2701","27"
"1526",6809,12,"F","B","2017-03-13T14:15:00","13(a)(31) Marijuana: Possession Small Amount","14","March","Monday",1,"13(a)","13(a)"
"1527",339,65,"M","B","2016-08-25T17:10:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","17","August","Thursday",0,"2701","27"
"1528",2411,27,"M","B","2016-10-30T19:24:00","3921(a) Theft by Unlawful Taking or Disposition - Movable item","19","October","Sunday",0,"3921","39"
"1530",3918,24,"M","W","2016-12-25T02:21:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2","December","Sunday",0,"2701","27"
"1531",5306,53,"M","W","2017-02-03T19:29:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","19","February","Friday",0,"13(a)","13(a)"
"1532",5308,61,"M","W","2017-02-03T22:06:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","22","February","Friday",0,"3802","38"
"1541",4262,25,"M","B","2017-01-01T17:53:00","4304(a)(1) Endangering Welfare of Children. / 5101 Obstructing Admin. of Law  / 9501 Bench Warrant","17","January","Sunday",0,"4304","43"
"1550",1758,50,"M","W","2016-10-06T20:32:00","13(a)(32) Paraphernalia - Use or Possession","20","October","Thursday",0,"13(a)","13(a)"
"1558",4368,35,"M","W","2017-01-15T17:04:00","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.","17","January","Sunday",0,"3926","39"
"1565",5611,54,"M","W","2017-02-17T15:30:00","13(a)(16) Possession of Controlled Substance","15","February","Friday",0,"13(a)","13(a)"
"1569",1847,26,"F","W","2016-10-06T16:20:00","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of","16","October","Thursday",0,"5902","59"
"1572",3462,27,"M","B","2016-12-04T05:25:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3809(a) Restriction on Alcoholic Beverages in Vehicle","5","December","Sunday",0,"3802","38"
"1576",1896,51,"F","W","2016-10-14T12:49:00","13(a)(16) Possession of Controlled Substance","12","October","Friday",0,"13(a)","13(a)"
"1593",6813,15,"F","B","2017-03-22T08:15:00","13(a)(31) Marijuana: Possession Small Amount","8","March","Wednesday",1,"13(a)","13(a)"
"1594",14,27,"M","W","2016-08-13T15:43:00","3921(a) Theft by Unlawful Taking or Disposition - Movable item","15","August","Saturday",0,"3921","39"
"1596",1900,28,"F","B","2016-10-14T15:07:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","15","October","Friday",0,"3929","39"
"1599",4381,34,"M","B","2017-01-04T16:06:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","16","January","Wednesday",0,"13(a)","13(a)"
"1601",6814,17,"M","B","2017-03-14T10:30:00","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","10","March","Tuesday",1,"5503","55"
"1611",2451,30,"M","W","2016-10-28T15:50:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3802(d)(1)(i) DUI - Controlled Substance - Schedule I","15","October","Friday",0,"13(a)","13(a)"
"1620",3964,36,"F","W","2016-12-26T17:05:00","13(a)(16) Possession of Controlled Substance","17","December","Monday",0,"13(a)","13(a)"
"1621",4151,33,"F","W","2016-12-14T21:27:00","5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 5902(a)(2) Prostitution - Loitering for purpose of","21","December","Wednesday",0,"5902","59"
"1632",2454,36,"M","W","2016-10-28T19:16:00","13(a)(32) Paraphernalia - Use or Possession","19","October","Friday",0,"13(a)","13(a)"
"1633",4637,19,"M","B","2016-12-19T17:31:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","17","December","Monday",1,"13(a)","13(a)"
"1638",1849,36,"F","W","2016-10-09T23:40:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","23","October","Sunday",0,"2701","27"
"1642",2432,32,"F","W","2016-11-09T13:20:00","2709(a)(4) Harassment Communicates Prohibited Acts / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows","13","November","Wednesday",0,"2709","27"
"1644",381,40,"M","B","2016-08-20T00:20:00","13(a)(32) Paraphernalia - Use or Possession","0","August","Saturday",0,"13(a)","13(a)"
"1645",1851,29,"F","W","2016-10-12T20:00:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","20","October","Wednesday",0,"13(a)","13(a)"
"1647",4638,30,"M","B","2016-12-24T03:29:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 4914 False Identification to Law Enforcement Authorities","3","December","Saturday",0,"13(a)","13(a)"
"1651",2725,33,"M","W","2016-11-03T21:03:00","13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","21","November","Thursday",0,"13(a)","13(a)"
"1660",117,36,"M","B","2016-08-03T16:15:00","4304(a)(1) Endangering Welfare of Children.","16","August","Wednesday",0,"4304","43"
"1663",2458,52,"M","B","2016-10-28T23:11:00","13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use","23","October","Friday",0,"13(a)","13(a)"
"1670",4330,30,"M","W","2017-01-04T21:55:00","13(a)(16) Possession of Controlled Substance","21","January","Wednesday",0,"13(a)","13(a)"
"1672",6816,17,"F","B","2017-03-15T11:45:00","13(a)(31) Marijuana: Possession Small Amount","11","March","Wednesday",1,"13(a)","13(a)"
"1673",388,32,"F","W","2016-08-24T19:20:00","13(a)(16) Possession of Controlled Substance","19","August","Wednesday",0,"13(a)","13(a)"
"1677",391,44,"F","W","2016-08-29T16:24:00","13(a)(16) Possession of Controlled Substance","16","August","Monday",0,"13(a)","13(a)"
"1678",392,15,"M","B","2016-09-08T07:55:00","13(a)(31) Marijuana: Possession Small Amount","7","September","Thursday",1,"13(a)","13(a)"
"1683",5334,15,"M","B","2017-02-13T17:30:00","3921(a) Theft by Unlawful Taking or Disposition - Movable item","17","February","Monday",1,"3921","39"
"1687",4687,36,"F","W","2017-01-16T16:35:00","3802(a)(1) DUI - General Impairment / 3802(d)(2) DUI - Drug - Impaired Ability","16","January","Monday",0,"3802","38"
"1688",2467,62,"M","B","2016-10-25T01:55:00","2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent","1","October","Tuesday",0,"2701","27"
"1696",2468,39,"F","B","2016-10-25T01:55:00","2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent","1","October","Tuesday",0,"2701","27"
"1701",6466,37,"M","W","2017-03-11T20:24:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","20","March","Saturday",0,"13(a)","13(a)"
"1702",6474,50,"F","W","2017-03-11T16:59:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","16","March","Saturday",0,"3802","38"
"1704",2227,24,"M","W","2016-09-08T15:12:00","13(a)(31) Marijuana: Possession Small Amount","15","September","Thursday",0,"13(a)","13(a)"
"1710",1814,24,"M","W","2016-10-09T03:20:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3809(a) Restriction on Alcoholic Beverages in Vehicle","3","October","Sunday",0,"3802","38"
"1712",1095,32,"M","W","2016-09-07T21:17:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","21","September","Wednesday",0,"13(a)","13(a)"
"1713",4409,18,"F","W","2017-01-07T22:45:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","22","January","Saturday",1,"13(a)","13(a)"
"1714",2785,24,"M","B","2016-11-08T13:46:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant","13","November","Tuesday",0,"13(a)","13(a)"
"1718",4412,14,"M","B","2017-01-10T12:00:00","13(a)(31) Marijuana: Possession Small Amount","12","January","Tuesday",1,"13(a)","13(a)"
"1728",5650,39,"M","W","2017-02-14T17:08:00","13(a)(32) Paraphernalia - Use or Possession","17","February","Tuesday",0,"13(a)","13(a)"
"1729",4002,16,"M","B","2016-12-28T10:20:00","13(a)(32) Paraphernalia - Use or Possession","10","December","Wednesday",1,"13(a)","13(a)"
"1730",4176,25,"M","W","2016-12-31T16:30:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","16","December","Saturday",0,"13(a)","13(a)"
"1733",2481,62,"M","B","2016-10-25T11:23:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","11","October","Tuesday",0,"13(a)","13(a)"
"1737",2483,47,"M","B","2016-10-25T11:23:00","13(a)(31) Marijuana: Possession Small Amount","11","October","Tuesday",0,"13(a)","13(a)"
"1747",1098,25,"M","W","2016-09-28T09:00:00","13(a)(32) Paraphernalia - Use or Possession","9","September","Wednesday",0,"13(a)","13(a)"
"1748",1820,30,"M","W","2016-10-08T13:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","13","October","Saturday",0,"13(a)","13(a)"
"1753",4460,32,"M","W","2017-01-06T21:09:00","4304(a)(1) Endangering Welfare of Children. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","21","January","Friday",0,"4304","43"
"1760",1823,33,"F","W","2016-10-08T17:42:00","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant","17","October","Saturday",0,"13(a)","13(a)"
"1762",1352,22,"M","W","2016-10-04T09:30:00","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)","9","October","Tuesday",0,"3304","33"
"1763",2117,22,"M","W","2016-10-11T15:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","15","October","Tuesday",0,"13(a)","13(a)"
"1785",5364,44,"M","B","2017-02-01T10:23:00","13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","10","February","Wednesday",0,"13(a)","13(a)"
"1794",5338,28,"F","W","2017-02-05T17:05:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","17","February","Sunday",0,"13(a)","13(a)"
"1802",4448,45,"M","W","2016-04-28T18:00:00","3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants)","18","April","Thursday",0,"3926","39"
"1804",5343,25,"F","W","2017-02-05T18:01:00","13(a)(32) Paraphernalia - Use or Possession","18","February","Sunday",0,"13(a)","13(a)"
"1805",2128,25,"M","B","2016-10-18T14:00:00","13(a)(31) Marijuana: Possession Small Amount","14","October","Tuesday",0,"13(a)","13(a)"
"1806",66,37,"M","W","2016-08-22T18:15:00","3123(a)(3) IDSI with unconscious person / 3123(a)(4) IDSI - drugs or intoxicants","18","August","Monday",0,"3123","31"
"1809",408,28,"M","B","2016-08-09T12:52:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","12","August","Tuesday",0,"2701","27"
"1812",6127,53,"M","W","2017-03-02T04:36:00","3503(a) Criminal Trespass","4","March","Thursday",0,"3503","35"
"1821",411,23,"M","B","2016-08-13T01:57:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","1","August","Saturday",0,"3802","38"
"1830",4461,33,"F","W","2017-01-06T21:09:00","4304(a)(1) Endangering Welfare of Children. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","21","January","Friday",0,"4304","43"
"1835",3526,25,"M","B","2016-11-02T20:07:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount","20","November","Wednesday",0,"13(a)","13(a)"
"1836",412,38,"M","W","2016-09-01T14:00:00","2709(a)(4) Harassment Communicates Prohibited Acts","14","September","Thursday",0,"2709","27"
"1841",5351,44,"M","B","2017-02-17T13:11:00","2701(a)(3) Simple Assault - Attempts by Physical Menace ","13","February","Friday",0,"2701","27"
"1843",2824,33,"M","W","2016-11-10T11:51:00","13(a)(16) Possession of Controlled Substance","11","November","Thursday",0,"13(a)","13(a)"
"1844",73,25,"M","W","2016-08-16T15:20:00","13(a)(16) Possession of Controlled Substance","15","August","Tuesday",0,"13(a)","13(a)"
"1848",3969,62,"F","W","2016-12-20T20:57:00","4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","20","December","Tuesday",0,"4304","43"
"1851",5376,51,"F","W","2017-02-08T12:38:00","4304(a)(1) Endangering Welfare of Children. / 633.05 Rabies Vaccination / 633.09(a) Harboring a Nuisance; Any animal to create offensive odor, excessive noise or unsanitary condition / 633.12 Number of Pets Permitted in City Limits; Exceptions / 5511(c)(1) CRUELTY TO ANIMALS","12","February","Wednesday",0,"4304","43"
"1853",5377,60,"M","W","2017-02-08T12:36:00","4304(a)(1) Endangering Welfare of Children. / 633.05 Rabies Vaccination / 633.09(a) Harboring a Nuisance; Any animal to create offensive odor, excessive noise or unsanitary condition / 633.12 Number of Pets Permitted in City Limits; Exceptions / 5511(c)(1) CRUELTY TO ANIMALS","12","February","Wednesday",0,"4304","43"
"1854",5379,30,"M","W","2017-02-08T10:46:00","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","10","February","Wednesday",0,"6105","61"
"1858",2792,33,"F","W","2016-11-11T10:20:00","13(a)(32) Paraphernalia - Use or Possession","10","November","Friday",0,"13(a)","13(a)"
"1864",1109,25,"F","W","2016-09-11T09:20:00","13(a)(32) Paraphernalia - Use or Possession","9","September","Sunday",0,"13(a)","13(a)"
"1869",4514,20,"M","W","2017-01-01T09:02:00","3503(a) Criminal Trespass / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","9","January","Sunday",1,"3503","35"
"1876",2132,33,"M","W","2016-10-16T19:55:00","13(a)(16) Possession of Controlled Substance","19","October","Sunday",0,"13(a)","13(a)"
"1881",4666,36,"M","W","2016-04-08T02:34:00","13(a)(32) Paraphernalia - Use or Possession","2","April","Friday",0,"13(a)","13(a)"
"1883",85,26,"F","W","2016-08-18T06:03:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","6","August","Thursday",0,"13(a)","13(a)"
"1887",4672,24,"F","B","2016-02-12T21:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","21","February","Friday",0,"2701","27"
"1899",2559,36,"M","W","2016-10-31T10:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","10","October","Monday",0,"13(a)","13(a)"
"1906",5384,22,"M","B","2017-02-02T23:23:00","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","23","February","Thursday",0,"3304","33"
"1907",2818,25,"M","B","2016-11-05T03:10:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","3","November","Saturday",0,"13(a)","13(a)"
"1909",6150,20,"M","B","2017-03-02T21:52:00","13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","21","March","Thursday",1,"13(a)","13(a)"
"1911",2474,22,"F","W","2016-10-26T23:50:00","3802(a)(1) DUI - General Impairment","23","October","Wednesday",0,"3802","38"
"1918",93,32,"M","W","2016-09-01T03:45:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","3","September","Thursday",0,"13(a)","13(a)"
"1920",4169,40,"F","B","2017-01-05T12:35:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","12","January","Thursday",0,"2701","27"
"1923",1104,53,"M","W","2016-09-28T12:44:00","4304(a)(1) Endangering Welfare of Children.","12","September","Wednesday",0,"4304","43"
"1925",2486,22,"M","B","2016-10-29T20:40:00","13(a)(16) Possession of Controlled Substance","20","October","Saturday",0,"13(a)","13(a)"
"1926",98,34,"M","W","2016-08-18T22:46:00","13(a)(16) Possession of Controlled Substance","22","August","Thursday",0,"13(a)","13(a)"
"1931",4697,53,"M","B","2017-01-16T19:08:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","19","January","Monday",0,"3929","39"
"1933",401,44,"F","W","2016-08-27T20:47:00","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of","20","August","Saturday",0,"5902","59"
"1942",103,23,"M","B","2016-08-26T13:14:00","13(a)(31) Marijuana: Possession Small Amount","13","August","Friday",0,"13(a)","13(a)"
"1944",1833,51,"F","W","2016-10-07T17:25:00","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of","17","October","Friday",0,"5902","59"
"1945",2576,37,"M","B","2016-11-01T02:55:00","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant","2","November","Tuesday",0,"13(a)","13(a)"
"1953",113,33,"F","W","2016-08-20T19:20:00","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of","19","August","Saturday",0,"5902","59"
"1954",6365,14,"F","W","2017-03-09T13:45:00","13(a)(31) Marijuana: Possession Small Amount","13","March","Thursday",1,"13(a)","13(a)"
"1956",2580,37,"M","B","2016-11-02T13:30:00","13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","13","November","Wednesday",0,"13(a)","13(a)"
